FIGHTER,HEIGHT,WEIGHT,REACH,STANCE,DOB,URL
Joao Roque,"5' 6""",155 lbs.,,Orthodox,"Jul 22, 1971",http://ufcstats.com/fighter-details/0f6528b461e47462
Jake Rosholt,"6' 1""",185 lbs.,,Orthodox,"Feb 09, 1982",http://ufcstats.com/fighter-details/4f2fcbefb668689d
Kevin Rosier,"6' 4""",275 lbs.,,Orthodox,,http://ufcstats.com/fighter-details/598a58db87b890ee
Zach Rosol,,243 lbs.,,,,http://ufcstats.com/fighter-details/208b6926916867c7
Nick Rossborough,"6' 5""",205 lbs.,,,"Nov 18, 1981",http://ufcstats.com/fighter-details/ff3a915256b899c0
Kristian Rothaermel,"6' 0""",205 lbs.,,Open Stance,"Jan 31, 1972",http://ufcstats.com/fighter-details/af49a6c491ca22a3
Rick Roufus,"6' 0""",207 lbs.,,Southpaw,,http://ufcstats.com/fighter-details/872b018076f831b0
Ray Routh,"5' 8""",185 lbs.,,Orthodox,,http://ufcstats.com/fighter-details/cba3a2dfbc06ce79
Roberta Rovel,"5' 8""",145 lbs.,,,,http://ufcstats.com/fighter-details/9d7fbf438766791f
Kain Royer,,185 lbs.,,,,http://ufcstats.com/fighter-details/712aa894b3a344df
Brad Royster,,135 lbs.,,,,http://ufcstats.com/fighter-details/09f8c233de88998d
Murilo Rua,"5' 11""",185 lbs.,,Orthodox,"May 22, 1980",http://ufcstats.com/fighter-details/90e7447d8b7f3f35
Marco Ruas,"6' 1""",210 lbs.,,Orthodox,"Jan 23, 1961",http://ufcstats.com/fighter-details/597db668b01c442c
Rodrigo Ruas,"5' 10""",185 lbs.,,Orthodox,"Oct 06, 1977",http://ufcstats.com/fighter-details/94070f6544c4b2a5
Rodolfo Rubio Perez,"5' 5""",145 lbs.,,Orthodox,"Jan 29, 1987",http://ufcstats.com/fighter-details/c4731f43693b96b8
Gabe Ruediger,"5' 10""",155 lbs.,,Orthodox,"Aug 29, 1977",http://ufcstats.com/fighter-details/ccba80d4820ef557
Eddie Ruiz,"5' 7""",155 lbs.,,Orthodox,"Jun 10, 1967",http://ufcstats.com/fighter-details/7b9aa973e5c04624
Anthony Ruiz,"6' 2""",205 lbs.,,Orthodox,"Nov 03, 1977",http://ufcstats.com/fighter-details/657c21cb133f1445
Paul Ruiz,"5' 6""",135 lbs.,,,"Jun 23, 1987",http://ufcstats.com/fighter-details/babc0b19e89cec6e
Bas Rutten,"6' 1""",205 lbs.,,Orthodox,"Feb 24, 1965",http://ufcstats.com/fighter-details/03688dc3c3af3ac1
Casey Ryan,,185 lbs.,,,,http://ufcstats.com/fighter-details/5b1b383265433f51
Yusup Saadulaev,"5' 6""",135 lbs.,,,"Mar 31, 1985",http://ufcstats.com/fighter-details/b1669a810fae4220
Pete Sabala,,135 lbs.,,,,http://ufcstats.com/fighter-details/7956f026e2672c47
Yukio Sakaguchi,"5' 9""",185 lbs.,,Orthodox,"Jul 26, 1973",http://ufcstats.com/fighter-details/94a5aaf573f780ad
Wataru Sakata,"5' 9""",195 lbs.,,Southpaw,"Mar 11, 1973",http://ufcstats.com/fighter-details/d7907a9a968e4d29
Kazushi Sakuraba,"6' 0""",185 lbs.,,Southpaw,"Jul 14, 1969",http://ufcstats.com/fighter-details/9b5b5a75523728f3
Hayato Sakurai,"5' 7""",168 lbs.,,Orthodox,"Aug 24, 1975",http://ufcstats.com/fighter-details/85e26e2468b4e82f
Ryuta Sakurai,"5' 7""",183 lbs.,,Orthodox,,http://ufcstats.com/fighter-details/ff9578cdbfabd323
Ivan Salaverry,"6' 0""",185 lbs.,,Orthodox,"Jan 11, 1971",http://ufcstats.com/fighter-details/394f55ebca199124
Roman Salazar,"5' 7""",135 lbs.,,Orthodox,"Feb 21, 1988",http://ufcstats.com/fighter-details/72c4b253d2f5ebf2
John Salgado,"5' 10""",170 lbs.,,,,http://ufcstats.com/fighter-details/3e36811b7bc1f6ad
Gabriel Salinas-Jones,"6' 1""",245 lbs.,,,"Nov 20, 1984",http://ufcstats.com/fighter-details/74d5f71eeb0c66c7
Brandon Saling,"5' 10""",170 lbs.,,,"Jan 28, 1986",http://ufcstats.com/fighter-details/a049aa06508b9c7b
Sean Salmon,"5' 10""",185 lbs.,,Southpaw,"Sep 11, 1977",http://ufcstats.com/fighter-details/7c0847d3854a95f2
Johnny Sampaio,"5' 8""",170 lbs.,,Orthodox,"Sep 11, 1975",http://ufcstats.com/fighter-details/b23388ff8ac6637b
Josh San Diego,"5' 10""",135 lbs.,,,,http://ufcstats.com/fighter-details/983e281d257c24dc
Julian Sanchez,"6' 3""",300 lbs.,,Orthodox,,http://ufcstats.com/fighter-details/c6da1c24fe473418
Bobby Sanchez,"5' 7""",155 lbs.,,Orthodox,,http://ufcstats.com/fighter-details/6a0047ac8c99fece
Donald Sanchez,"5' 10""",145 lbs.,,,"Aug 18, 1984",http://ufcstats.com/fighter-details/bb140b121283acbb
Emmanuel Sanchez,"5' 9""",145 lbs.,"71""",,"Aug 11, 1990",http://ufcstats.com/fighter-details/243a336eaa2d2eb4
Erick Sanchez,"5' 10""",145 lbs.,,,"Oct 04, 1990",http://ufcstats.com/fighter-details/ef3663798164adf0
Jesse Sanders,"6' 0""",170 lbs.,,Orthodox,,http://ufcstats.com/fighter-details/59aaf2730b84698a
Hugo Sandoval,,135 lbs.,,,,http://ufcstats.com/fighter-details/9d51bcc281aa0514
Raul Sandoval,,130 lbs.,,,,http://ufcstats.com/fighter-details/f9ad10f6a49e5452
Joseph Sandoval,"5' 7""",135 lbs.,,Southpaw,"May 11, 1986",http://ufcstats.com/fighter-details/696002b59f09d73b
Chris Sanford,"5' 11""",185 lbs.,,Orthodox,"Mar 12, 1968",http://ufcstats.com/fighter-details/29f935654825331b
Roldan Sangcha'an,"5' 4""",125 lbs.,,Orthodox,"Dec 04, 1990",http://ufcstats.com/fighter-details/57887765f831e228
Yuhi Sano,"5' 11""",243 lbs.,,Orthodox,"Feb 02, 1965",http://ufcstats.com/fighter-details/4c12aa7ca246e7a4
Jonathan Santa Maria,"5' 9""",125 lbs.,,,,http://ufcstats.com/fighter-details/3143e5daff9e5b71
Sean Santella,"5' 5""",125 lbs.,,,"Oct 25, 1984",http://ufcstats.com/fighter-details/39792c2f42c9f527
Will Santiago,"5' 7""",185 lbs.,,Orthodox,"Feb 08, 1983",http://ufcstats.com/fighter-details/4920292f5d9b76df
Jose Santibanez,,155 lbs.,,,"Jan 18, 1980",http://ufcstats.com/fighter-details/8299206ccebc44a7
Art Santore,"6' 2""",185 lbs.,,,"Oct 26, 1972",http://ufcstats.com/fighter-details/012fc7cd0779c09a
Adriano Santos,,,,,,http://ufcstats.com/fighter-details/c6e6926a81adcd00
Paulo Santos,,,,,,http://ufcstats.com/fighter-details/7ca4c3f8aa8bacae
Luis Santos,"6' 1""",170 lbs.,,Southpaw,,http://ufcstats.com/fighter-details/7701377be464d2ef
Bruno Santos,"5' 9""",185 lbs.,,Orthodox,"Jul 17, 1987",http://ufcstats.com/fighter-details/da1d8d76404bb6b5
Andre Santos,"6' 0""",170 lbs.,,,,http://ufcstats.com/fighter-details/5b5b78116d1fc3eb
Gleristone Santos,"5' 9""",145 lbs.,,,"Aug 20, 1988",http://ufcstats.com/fighter-details/d12ee718fb35c35c
Marilia Santos,"5' 4""",125 lbs.,,Orthodox,"Dec 12, 1992",http://ufcstats.com/fighter-details/4cb79988b2a9bd07
Nick Sanzo,"5' 9""",190 lbs.,,,,http://ufcstats.com/fighter-details/1d147d4163a6989b
Bob Sapp,"6' 5""",350 lbs.,,Orthodox,"Sep 22, 1974",http://ufcstats.com/fighter-details/9f3d6ddef3d3cccc
Diego Saraiva,"5' 6""",155 lbs.,,Orthodox,"Apr 23, 1982",http://ufcstats.com/fighter-details/4f4dac51adc1af4f
Harris Sarmiento,"5' 9""",155 lbs.,,Orthodox,"Sep 09, 1983",http://ufcstats.com/fighter-details/026b4f7049085842
Alexander Sarnavskiy,"5' 11""",155 lbs.,,,"Jan 17, 1989",http://ufcstats.com/fighter-details/2097b1a5ff47dfb0
Yuki Sasaki,"6' 2""",185 lbs.,,Orthodox,"Sep 12, 1976",http://ufcstats.com/fighter-details/e5c38954c006f15c
Kyosuke Sasaki,"5' 7""",183 lbs.,,Southpaw,,http://ufcstats.com/fighter-details/23bd78c3f89bdb54
Masaaki Satake,"6' 1""",220 lbs.,,Orthodox,"Aug 17, 1965",http://ufcstats.com/fighter-details/f4a031ac205ac580
Takenori Sato,"5' 10""",170 lbs.,,Southpaw,"Jun 08, 1985",http://ufcstats.com/fighter-details/276c60b14b571dd4
Uran Satybaldiev,,205 lbs.,,,,http://ufcstats.com/fighter-details/02f484417a6fa69d
Jeimeson Saudino,"5' 6""",135 lbs.,,,"Mar 05, 1991",http://ufcstats.com/fighter-details/f6f9d41669dd3eaa
Tom Sauer,"6' 1""",263 lbs.,,,"Nov 11, 1970",http://ufcstats.com/fighter-details/36ab6af06e312b41
Townsend Saunders,"5' 5""",170 lbs.,,Orthodox,,http://ufcstats.com/fighter-details/20bd6c3e03c46ee6
Chad W. Saunders,"5' 10""",170 lbs.,,Orthodox,,http://ufcstats.com/fighter-details/4fe9492959834bf7
Chris Saunders,"5' 8""",155 lbs.,,,"Mar 11, 1986",http://ufcstats.com/fighter-details/b35a159f525764eb
Lumumba Sayers,"6' 0""",185 lbs.,,,"Jun 30, 1978",http://ufcstats.com/fighter-details/402ea3b5ee233852
Brandon Sayles,"6' 5""",265 lbs.,,,"Apr 23, 1981",http://ufcstats.com/fighter-details/72b7c071910990b1
Mark Scanlon,"5' 9""",170 lbs.,,Orthodox,,http://ufcstats.com/fighter-details/771b60ff889661c8
Kerry Schall,"6' 2""",265 lbs.,,Orthodox,"Aug 09, 1971",http://ufcstats.com/fighter-details/030f08370fd1c2bb
Eric Schambari,"5' 11""",185 lbs.,,Orthodox,"Apr 22, 1978",http://ufcstats.com/fighter-details/66e981516e2476d1
Antonio Schembri,"5' 9""",205 lbs.,,Orthodox,"Jun 01, 1974",http://ufcstats.com/fighter-details/a3244e3238541482
Fabiano Scherner,"6' 3""",257 lbs.,,Orthodox,"Jun 30, 1972",http://ufcstats.com/fighter-details/0bc7e61d204f2137
Samy Schiavo,"5' 8""",155 lbs.,,Orthodox,"Dec 24, 1975",http://ufcstats.com/fighter-details/1208ffc5be6e31ad
Pat Schilling,"5' 8""",145 lbs.,,Orthodox,"Aug 28, 1988",http://ufcstats.com/fighter-details/de12bd65e2f46478
Joe Schilling,"6' 3""",185 lbs.,,,,http://ufcstats.com/fighter-details/f41fad444939056b
Semmy Schilt,"6' 10""",265 lbs.,,Orthodox,"Oct 27, 1973",http://ufcstats.com/fighter-details/d5ed14b2153c6ed2
Adam Schindler,"5' 8""",155 lbs.,,,"May 19, 1983",http://ufcstats.com/fighter-details/89ea01f5a7ada40c
Daniel Schmitt,,185 lbs.,,,,http://ufcstats.com/fighter-details/bd02e222a6166d50
Colleen Schneider,,135 lbs.,,,,http://ufcstats.com/fighter-details/aa943b9bc00cb0ed
Alex Schoenauer,"6' 3""",185 lbs.,,Orthodox,"May 05, 1976",http://ufcstats.com/fighter-details/fdfef29ba17ee525
Darrill Schoonover,"6' 2""",220 lbs.,,Orthodox,"Jul 18, 1985",http://ufcstats.com/fighter-details/5a558ba1ff5e9121
Bob Schrijber,"6' 0""",240 lbs.,,Orthodox,,http://ufcstats.com/fighter-details/d86e913c548c07c2
Nate Schroeder,"6' 1""",230 lbs.,,,,http://ufcstats.com/fighter-details/040426baba8a45e8
Lacey Schuckman,"5' 3""",125 lbs.,,,,http://ufcstats.com/fighter-details/e44c679c30403cba
Mark Schultz,"5' 9""",200 lbs.,,Orthodox,,http://ufcstats.com/fighter-details/c1684f00c626f4c0
Brian Schwartz,"6' 3""",170 lbs.,,Orthodox,,http://ufcstats.com/fighter-details/99c80d2bd5dbe5a9
Eric Schwartz,,205 lbs.,,,,http://ufcstats.com/fighter-details/79cbdf233e5e0496
Greg Scott,"5' 9""",145 lbs.,,,,http://ufcstats.com/fighter-details/0b235384fe23fc9c
Louis Lee Scott,,135 lbs.,,,"Feb 26, 2000",http://ufcstats.com/fighter-details/4327506eb9ee342f
Mike Seal,"6' 4""",185 lbs.,,Orthodox,,http://ufcstats.com/fighter-details/0c01568b1ac77bff
Matt Secor,"6' 0""",170 lbs.,,,"Sep 26, 1986",http://ufcstats.com/fighter-details/d1ce40aca99a9b70
Kenneth Seegrist,"6' 0""",185 lbs.,,Orthodox,,http://ufcstats.com/fighter-details/55e94a9b525dcf45
Rony Sefo,"5' 9""",225 lbs.,,Orthodox,,http://ufcstats.com/fighter-details/d6b68eaf4b68b160
Ray Sefo,"6' 0""",240 lbs.,,Orthodox,"Feb 15, 1971",http://ufcstats.com/fighter-details/646d5dbe509accd4
Brendan Seguin,"6' 0""",185 lbs.,,,"Jul 03, 1976",http://ufcstats.com/fighter-details/e4bb7e483c4ad318
Tetsuya Seki,"5' 10""",155 lbs.,,,"Feb 08, 1994",http://ufcstats.com/fighter-details/5e1062e066c601e6
Andrei Semenov,"6' 0""",185 lbs.,,Orthodox,"Jun 17, 1977",http://ufcstats.com/fighter-details/5f2f0da6fd6a84fd
Brandon Sene,"5' 11""",205 lbs.,,,"May 21, 1981",http://ufcstats.com/fighter-details/3ed134d85dfbd7b4
Kim In Seok,"5' 6""",145 lbs.,,Orthodox,,http://ufcstats.com/fighter-details/88b250ba222c3a98
Ray Seraille,"6' 3""",246 lbs.,,,,http://ufcstats.com/fighter-details/2f04c4183523be2e
Ivan Serati,"6' 0""",205 lbs.,,Orthodox,,http://ufcstats.com/fighter-details/b23fca14c7b79935
Nicholas Sergiacomi,,170 lbs.,,,,http://ufcstats.com/fighter-details/efab191f204ffa17
Nick Serra,"5' 9""",170 lbs.,,Orthodox,"Mar 27, 1978",http://ufcstats.com/fighter-details/1975c2272ba40e71
Adrian Serrano,"5' 8""",170 lbs.,,,"Dec 23, 1963",http://ufcstats.com/fighter-details/e7ec11096eac0282
Carl Seumanutafa,"6' 1""",255 lbs.,,Orthodox,,http://ufcstats.com/fighter-details/dadaeb402526dca5
Dan Severn,"6' 2""",250 lbs.,,Southpaw,"Jun 08, 1958",http://ufcstats.com/fighter-details/c670aa48827d6be6
Rosi Sexton,"5' 3""",135 lbs.,,Orthodox,"Jul 16, 1977",http://ufcstats.com/fighter-details/5dfe71ade71f3a4b
Scott Shaffer,"5' 7""",145 lbs.,,Orthodox,,http://ufcstats.com/fighter-details/5c38639f860a5542
Frank Shamrock,"5' 10""",185 lbs.,,Orthodox,"Dec 08, 1972",http://ufcstats.com/fighter-details/fcaae0385b514f11
Jason Sharp,,205 lbs.,,,,http://ufcstats.com/fighter-details/285e32e41f61a5b1
Katsuyori Shibata,"6' 0""",168 lbs.,,Orthodox,"Nov 17, 1979",http://ufcstats.com/fighter-details/d4da8995fc91e7ef
Shunichi Shimizu,"5' 5""",135 lbs.,,Orthodox,"Jan 31, 1985",http://ufcstats.com/fighter-details/10657c60ce349e0f
Wade Shipp,"6' 3""",245 lbs.,,Orthodox,"Feb 09, 1975",http://ufcstats.com/fighter-details/a9a314cc77d90b6e
Raja Shippen,"5' 6""",145 lbs.,,,"Oct 07, 1986",http://ufcstats.com/fighter-details/d9e1942637bd57a4
Yuya Shirai,"5' 8""",168 lbs.,,Orthodox,"Apr 02, 1980",http://ufcstats.com/fighter-details/a79bfbc01b2264d6
Wes Shivers,"6' 8""",,,,,http://ufcstats.com/fighter-details/ad863b0d57952c57
Alexander Shlemenko,"5' 11""",185 lbs.,,,"May 20, 1984",http://ufcstats.com/fighter-details/ed3ea649b34ddb6c
Josh Shockley,"6' 1""",155 lbs.,,Orthodox,"Nov 15, 1989",http://ufcstats.com/fighter-details/1d36f1ac66cf689d
Josh Shockman,"6' 4""",235 lbs.,,Southpaw,"Dec 29, 1980",http://ufcstats.com/fighter-details/821cd80aab70d5f9
Akira Shoji,"5' 8""",195 lbs.,,Orthodox,"Jan 31, 1974",http://ufcstats.com/fighter-details/b0c95dc8e858452c
Landon Showalter,"6' 0""",185 lbs.,,,"Jun 14, 1976",http://ufcstats.com/fighter-details/35cc17760b06f36d
Brandon Shuey,"5' 7""",155 lbs.,,Orthodox,"Feb 01, 1976",http://ufcstats.com/fighter-details/585f9ffdb0cd0466
Kiril Sidelnikov,"5' 11""",230 lbs.,,,"Aug 17, 1988",http://ufcstats.com/fighter-details/cf772fb504842dc3
Siala Siliga,"6' 1""",290 lbs.,,Orthodox,"Oct 08, 1970",http://ufcstats.com/fighter-details/3cf68c1d17f66af7
Xavier Siller,"5' 5""",125 lbs.,,,"Jun 06, 1994",http://ufcstats.com/fighter-details/9a08c2753184ac6d
Assuerio Silva,"5' 10""",241 lbs.,,Orthodox,"Jun 18, 1974",http://ufcstats.com/fighter-details/e091482fa6648261
Paulo Cesar Silva,"7' 5""",385 lbs.,,Orthodox,"Jul 21, 1963",http://ufcstats.com/fighter-details/55b8dc4e54fe2c59
Jean Silva,"5' 6""",160 lbs.,,Orthodox,"Oct 08, 1977",http://ufcstats.com/fighter-details/9211aae062b799d6
Edson Silva,,205 lbs.,,Orthodox,,http://ufcstats.com/fighter-details/a1153013cb5f628f
Sidney Silva,"6' 3""",170 lbs.,,Southpaw,"Feb 27, 1972",http://ufcstats.com/fighter-details/a6c32678efd4f434
Jay Silva,"6' 2""",185 lbs.,,Southpaw,,http://ufcstats.com/fighter-details/53bb0d40905b87c0
Fabio Silva,"5' 11""",205 lbs.,,Orthodox,"Mar 31, 1982",http://ufcstats.com/fighter-details/2ba479b409011527
Wagner Silva,"6' 0""",170 lbs.,,Orthodox,"Feb 07, 1987",http://ufcstats.com/fighter-details/fb79582c410d049e
Rafael Silva,"5' 7""",135 lbs.,,,"Mar 20, 1985",http://ufcstats.com/fighter-details/a31358d90d4bb40a
Dayana Silva,"5' 7""",135 lbs.,,Orthodox,"Aug 27, 1990",http://ufcstats.com/fighter-details/b19aecbfbb5508cc
Leonardo Silva de Oliveira,"6' 2""",185 lbs.,,Orthodox,"Apr 23, 1992",http://ufcstats.com/fighter-details/28e088bbcaaa6366
Marcus Silveira,"6' 3""",242 lbs.,,Orthodox,,http://ufcstats.com/fighter-details/f717b6002486f73f
Wes Sims,"6' 10""",260 lbs.,,Orthodox,"Aug 04, 1979",http://ufcstats.com/fighter-details/e0f7c4f3f67bc808
Marlon Sims,,170 lbs.,,,,http://ufcstats.com/fighter-details/9eedac48b497de5a
Lodune Sincaid,"5' 9""",185 lbs.,,Orthodox,"May 07, 1973",http://ufcstats.com/fighter-details/265589bdd93e7ce5
Rob Sinclair,"5' 8""",155 lbs.,,,"Feb 20, 1980",http://ufcstats.com/fighter-details/3b65c9dd39741bc4
Mitchell Sipe,"6' 2""",245 lbs.,,Orthodox,"Apr 09, 1996",http://ufcstats.com/fighter-details/71ef1111bf829b82
AJ Siscoe,"5' 7""",135 lbs.,,,,http://ufcstats.com/fighter-details/fce9b4056a8ef559
Yokthai Sithoar,"5' 7""",143 lbs.,,,"Dec 25, 1974",http://ufcstats.com/fighter-details/436cdea7bdfdc016
Jeri Sitzes,"5' 5""",125 lbs.,,,,http://ufcstats.com/fighter-details/44a1dd0ef4373edc
Matt Skelton,"6' 3""",265 lbs.,,Orthodox,"Jan 23, 1967",http://ufcstats.com/fighter-details/caced97768818230
Zach Skinner,"5' 6""",145 lbs.,,Orthodox,,http://ufcstats.com/fighter-details/c337c3c85b1871e0
Brian Sleeman,"5' 8""",185 lbs.,,,,http://ufcstats.com/fighter-details/9db861c26b63daa8
Joe Slick,"6' 0""",199 lbs.,,Orthodox,"Oct 17, 1977",http://ufcstats.com/fighter-details/80e6d71e14c1d356
Ray Sloan,"6' 1""",205 lbs.,,,"Jul 14, 1985",http://ufcstats.com/fighter-details/a2d1d3d144fed708
Kestutis Smirnovas,"5' 10""",200 lbs.,,Orthodox,,http://ufcstats.com/fighter-details/1979c80150f630c4
Maurice Smith,"6' 2""",221 lbs.,,Orthodox,"Dec 13, 1961",http://ufcstats.com/fighter-details/33e33d51f289d2a1
Patrick Smith,"6' 2""",225 lbs.,,Orthodox,"Aug 28, 1963",http://ufcstats.com/fighter-details/46c8ec317aff28ac
Eric Smith,,,,Southpaw,,http://ufcstats.com/fighter-details/9114c8ded5ccd71d
Josh Smith,"6' 0""",155 lbs.,,Orthodox,"Jul 02, 1982",http://ufcstats.com/fighter-details/f626aa1c85f8af03
David Smith,,155 lbs.,,,,http://ufcstats.com/fighter-details/e955046551f8c7dd
Adam Smith,,,,,,http://ufcstats.com/fighter-details/754968e325d6f60d
Dillon Smith,"6' 0""",170 lbs.,,,,http://ufcstats.com/fighter-details/ffee353f55e3aa2c
Gilbert Smith,"5' 9""",185 lbs.,,Southpaw,"Oct 19, 1981",http://ufcstats.com/fighter-details/54ed8dc6f8c31207
Walter Smith-Cotito,"5' 8""",135 lbs.,,,,http://ufcstats.com/fighter-details/625b65b45c1c6888
Justin Smitley,,145 lbs.,,,,http://ufcstats.com/fighter-details/c5776fa8f4bf77aa
Denis Sobolev,"6' 3""",216 lbs.,,Orthodox,,http://ufcstats.com/fighter-details/03b1e846b09f721d
Chris Solomon,"5' 11""",155 lbs.,,,,http://ufcstats.com/fighter-details/324c7a749128df8d
Joe Son,"5' 4""",236 lbs.,,Orthodox,"Nov 22, 1970",http://ufcstats.com/fighter-details/83b743fedde154fb
Paul Song,,185 lbs.,,,,http://ufcstats.com/fighter-details/9775eabcb1be1a00
Cody Sons,"5' 9""",205 lbs.,,,,http://ufcstats.com/fighter-details/3324129f3745b300
Emiliano Sordi,"6' 2""",205 lbs.,,Orthodox,"Feb 15, 1991",http://ufcstats.com/fighter-details/4c9b84d559822830
Alex Soto,"5' 8""",135 lbs.,,Southpaw,"Feb 15, 1984",http://ufcstats.com/fighter-details/d18dbcb0f8e2b55d
Mario Soto,"6' 0""",145 lbs.,,,,http://ufcstats.com/fighter-details/cac3aaa66c20bee1
Bobby Southworth,"6' 2""",205 lbs.,,Orthodox,"Dec 16, 1969",http://ufcstats.com/fighter-details/aee8eecfc4bfb1e7
Charon Spain,"5' 9""",155 lbs.,,,"Mar 11, 1988",http://ufcstats.com/fighter-details/c278e8843b8abfec
Chris Spang,"6' 2""",170 lbs.,,Orthodox,"Nov 26, 1987",http://ufcstats.com/fighter-details/411d012af19ecb59
Andreas Spang,"6' 1""",185 lbs.,,,"Nov 07, 1978",http://ufcstats.com/fighter-details/b9eb5b4ed07d1525
Ron Sparks,"6' 5""",265 lbs.,,,,http://ufcstats.com/fighter-details/743fd9080892501d
Patrick Speight,"6' 1""",170 lbs.,,Orthodox,,http://ufcstats.com/fighter-details/ae4650eb56ab6a11
Sam Spengler,"5' 11""",185 lbs.,,Orthodox,,http://ufcstats.com/fighter-details/221b2a3070c7ce3e
Nick Sperling,,135 lbs.,,,,http://ufcstats.com/fighter-details/7d68f3bec89e08ec
Mario Sperry,"6' 2""",205 lbs.,,Orthodox,"Sep 28, 1966",http://ufcstats.com/fighter-details/5f2197acaba7d5ef
Waachiim Spiritwolf,"5' 8""",170 lbs.,,,,http://ufcstats.com/fighter-details/71caa995674203aa
Pete Spratt,"5' 9""",170 lbs.,,Orthodox,"Jan 09, 1971",http://ufcstats.com/fighter-details/c3ea8deeba00462b
Bobby Stack,"5' 9""",155 lbs.,,Orthodox,,http://ufcstats.com/fighter-details/6436029b50a9c255
Andreas Stahl,"5' 11""",170 lbs.,,Orthodox,"May 20, 1988",http://ufcstats.com/fighter-details/69a400af4420cd6a
Cristina Stanciu,"5' 3""",115 lbs.,,Orthodox,"Mar 29, 1994",http://ufcstats.com/fighter-details/175852708cb55776
Dion Staring,"6' 1""",235 lbs.,,Orthodox,"Jun 09, 1978",http://ufcstats.com/fighter-details/289a57039d742bfe
Lucas Stark,,155 lbs.,,,,http://ufcstats.com/fighter-details/93e4754d0984c82f
Adam Steele,,170 lbs.,,,,http://ufcstats.com/fighter-details/16044bd8762cf794
Eric Steenberg,,155 lbs.,,,"Jun 22, 1983",http://ufcstats.com/fighter-details/377bc9dc0b2745f9
Ray Steinbeiss,"5' 11""",170 lbs.,,Orthodox,"Sep 12, 1979",http://ufcstats.com/fighter-details/6000b5ae6c462142
Dmitri Stepanov,"6' 3""",217 lbs.,,Orthodox,,http://ufcstats.com/fighter-details/738acab0c6934dd8
Marc Stevens,"5' 9""",155 lbs.,,,,http://ufcstats.com/fighter-details/310c4d4b2b32796b
Luke Stewart,"5' 11""",170 lbs.,,Orthodox,,http://ufcstats.com/fighter-details/27b1a406ac171b19
Alex Stiebling,"6' 2""",205 lbs.,,Southpaw,,http://ufcstats.com/fighter-details/df5a77121ba84a5d
Tyler Stinson,"6' 3""",170 lbs.,,,"Jan 17, 1986",http://ufcstats.com/fighter-details/2cf520143e76cd2e
Dan Stittgen,"6' 1""",170 lbs.,,Orthodox,"Nov 17, 1980",http://ufcstats.com/fighter-details/cc3147b49c7d7d92
Denis Stojnic,"6' 0""",245 lbs.,,Orthodox,"Feb 02, 1980",http://ufcstats.com/fighter-details/a421465acbe59c77
Ryan Stonitsch,"5' 9""",170 lbs.,,Southpaw,"Feb 03, 1977",http://ufcstats.com/fighter-details/8d477c3fbe001f9d
George Stork,"5' 10""",185 lbs.,,,,http://ufcstats.com/fighter-details/61dd409cb40d1a55
Greg Stott,"5' 7""",220 lbs.,,Southpaw,,http://ufcstats.com/fighter-details/91181b29be041f1c
Curtis Stout,"6' 1""",185 lbs.,,Southpaw,"Nov 07, 1973",http://ufcstats.com/fighter-details/e09dbbd5fe3f0fe2
Tim Stout,"5' 11""",185 lbs.,,,"Feb 09, 1979",http://ufcstats.com/fighter-details/e1a4568fec1fc24f
Gennaro Strangis,,,,,,http://ufcstats.com/fighter-details/495add4fbede0a44
Dave Strasser,"5' 10""",170 lbs.,,Orthodox,"Jul 13, 1969",http://ufcstats.com/fighter-details/980b4e712489098e
Daniel Straus,"5' 7""",145 lbs.,"71""",,"Jul 27, 1984",http://ufcstats.com/fighter-details/15347cd4cdf01b03
Gerald Strebendt,"5' 9""",155 lbs.,,Orthodox,"Mar 01, 1979",http://ufcstats.com/fighter-details/04f9fe830cf13482
Hans Stringer,"6' 3""",205 lbs.,,Orthodox,"Jul 06, 1987",http://ufcstats.com/fighter-details/523f6ad11dbe9b53
Josh Stuart,"5' 9""",160 lbs.,,,,http://ufcstats.com/fighter-details/601cf40c09090853
Mike Stumpf,"5' 10""",170 lbs.,,,"Aug 01, 1986",http://ufcstats.com/fighter-details/c0c36a5b3d5bbdd5
Kyle Sturgeon,"6' 3""",225 lbs.,,Switch,,http://ufcstats.com/fighter-details/d30415ec5e8783cd
Masanori Suda,"5' 9""",183 lbs.,,Orthodox,,http://ufcstats.com/fighter-details/3a7513372f79c8c8
Genki Sudo,"5' 9""",155 lbs.,,Orthodox,"Mar 08, 1978",http://ufcstats.com/fighter-details/99dd0147dc4ef80c
Daisuke Sugie,"5' 6""",160 lbs.,,Orthodox,,http://ufcstats.com/fighter-details/8215e4fe24e8e81b
Takashi Sugiura,"5' 11""",225 lbs.,,Southpaw,"May 31, 1970",http://ufcstats.com/fighter-details/06c60fc2c8dcd7bd
Naho Sugiyuma,"5' 1""",105 lbs.,,,"Feb 03, 1978",http://ufcstats.com/fighter-details/b205d4f2ff44bc89
Amar Suloev,"5' 9""",183 lbs.,,Orthodox,"Jul 01, 1976",http://ufcstats.com/fighter-details/7aa88401f93ce836
Magomed Sultanakhmedov,"6' 2""",185 lbs.,,Southpaw,,http://ufcstats.com/fighter-details/fe1fdc6be470f773
Aji Susilo,"5' 10""",155 lbs.,,,,http://ufcstats.com/fighter-details/22af3546bd967280
